Organism	Pathway Name	#Reactions	Evidence
GCF_000014005	PWY-6620	2	EV-COMP-AINF
GCF_000014005	ILEUSYN-PWY	7	EV-COMP-AINF
GCF_000014005	PWY0-1329	2	EV-COMP-AINF
GCF_000014005	PWY-8073	6	EV-COMP-AINF
GCF_000014005	PWY-5481	1	EV-COMP-AINF
GCF_000014005	HISDEG-PWY	4	EV-COMP-AINF
GCF_000014005	LEUSYN-PWY	6	EV-COMP-AINF
GCF_000014005	PEPTIDOGLYCANSYN-PWY	10	EV-COMP-AINF
GCF_000014005	PWY-5989	6	EV-COMP-AINF
GCF_000014005	HOMOSER-THRESYN-PWY	2	EV-COMP-AINF
GCF_000014005	GLUTSYNIII-PWY	1	EV-COMP-AINF
GCF_000014005	PWY0-1466	2	EV-COMP-AINF
GCF_000014005	PWY-6894	2	EV-COMP-AINF
GCF_000014005	PWY-6599	2	EV-COMP-AINF
GCF_000014005	PWY-6703	4	EV-COMP-AINF
GCF_000014005	TCA	10	EV-COMP-AINF
GCF_000014005	PWY-7183	1	EV-COMP-AINF
GCF_000014005	THREONINE-DEG2-PWY	2	EV-COMP-AINF
GCF_000014005	PWY0-1337	35	EV-COMP-AINF
GCF_000014005	PWY0-1296	6	EV-COMP-AINF
GCF_000014005	METHIONINE-DEG1-PWY	3	EV-COMP-AINF
GCF_000014005	PWY-4261	3	EV-COMP-AINF
GCF_000014005	PWY-7208	4	EV-COMP-AINF
GCF_000014005	PWY0-901	3	EV-COMP-AINF
GCF_000014005	PWY-2622	1	EV-COMP-AINF
GCF_000014005	PWY-6545	9	EV-COMP-AINF
GCF_000014005	PWY-7806	1	EV-COMP-AINF
GCF_000014005	ARG-PRO-PWY	4	EV-COMP-AINF
GCF_000014005	PWY0-1353	2	EV-COMP-AINF
GCF_000014005	PWY-7229	5	EV-COMP-AINF
GCF_000014005	P108-PWY	7	EV-COMP-AINF
GCF_000014005	PWY0-1336	2	EV-COMP-AINF
GCF_000014005	GLUCONEO-PWY	13	EV-COMP-AINF
