TAX-3888,TAX-3847,TAX-3880,TAX-1063,TAX-1061,TAX-287,TAX-4577,TAX-4081,TAX-9606,TAX-3708,TAX-3562,TAX-382,TAX-1488,TAX-4932,TAX-548,TAX-1718,TAX-4513,TAX-4530,TAX-4565,TAX-573,TAX-4097,TAX-4113,TAX-1423,TAX-294,TAX-1773,TAX-1148,TAX-303,TAX-2336,TAX-9913,TAX-2287,TAX-3055,TAX-1097,TAX-2190,TAX-1280,TAX-358,TAX-4058,TAX-3702,TAX-3988,TAX-1772
4.702328,0.30466595,3.5499046,-8.538695,-4.7582746,-0.50707227,-3.077191,-1.0075185,-3.7815816,-2.828029,-0.18367957,-2.2387016,-3.8611736,0.009084209,-1.2006233,-5.2131057,-1.7838013,1.5503247,2.2980535,-0.6008312,-1.7850816,1.9559549,-2.915199,-3.8083205,-5.607781,0.68169147,0.54559714,2.6673894,2.9225264,-1.0148222,-1.0211267,-2.2013738,-6.171475,-4.4810214,-0.830022,1.5606633,-9.438073,-2.0257225,-9.630666
-8.3528595,-6.914423,-7.2152205,-3.7258687,2.0807254,-3.663123,-3.6065278,-9.466654,-8.211379,-10.277922,-10.606439,-6.655107,1.3489954,-3.773667,3.4196963,2.0634196,-6.4792495,-8.465688,-7.420609,-1.4572699,-4.541967,-5.176087,-5.8332605,-7.530314,2.1363733,-2.0450306,-1.9749157,-1.7205026,-7.686204,-5.7719536,-2.5828865,0.2834173,-4.6322937,-9.613416,-2.621146,-0.46630365,-10.214895,-5.829584,-3.5934284
-1.9175837,-1.76235,3.6648715,0.09431489,3.929457,1.182284,1.2794297,1.1504145,0.65755373,-4.4716573,-5.309819,4.1392403,-4.8740096,-4.506385,0.5952808,1.7109613,-2.6683085,0.07047066,-2.169464,-0.15047832,1.0069947,-2.9909558,-1.0272989,-1.7015076,-7.306009,0.4868378,-3.6254315,-0.2783855,-1.9324338,-2.0040467,-2.797888,-1.160297,-1.4435143,-0.7725013,-1.0790015,-2.2908084,0.98896754,-3.2126234,-6.981497
-1.7101433,1.2761372,3.5523455,2.4494185,0.7796914,-1.2855452,-1.0038737,3.6418686,0.38678244,3.100954,-0.05301411,-0.6777059,3.3881288,-4.3179545,-4.8951764,-1.5639422,5.096701,1.1432123,1.412794,-1.3261025,3.306092,1.0567358,-2.28899,-2.151166,-0.6864652,0.85726386,0.39226937,-3.1967683,-0.17580496,2.0777905,1.3139085,0.6751906,-7.56427,3.5208967,2.9255605,-3.174039,3.3039925,2.226922,-3.9886177
3.9331958,4.0696425,8.067447,-3.99548,-2.9655926,-1.4884726,0.878527,-5.138657,-0.19402924,-2.7605193,0.924896,-2.4164097,1.4137841,-3.4511185,-2.2564015,-1.4625767,-1.5972892,-0.11215565,3.9752576,-2.2228074,-4.2985406,-7.625712,-0.37445587,-4.0441155,-4.868635,-3.3732557,-2.8639877,1.233726,-1.0170075,-2.0797234,-4.0162773,-4.285853,-1.5538166,-1.6888523,-1.8462702,-0.5481157,-8.41761,-1.4406215,-3.8474367
-1.2212139,1.0297264,2.5480745,-5.7325144,-4.073351,-3.4791114,7.003304,0.59374636,-2.8429284,1.8256607,-0.7109335,-2.003104,-5.4097924,-0.094565906,-0.72245425,-3.5810566,-1.416952,-2.5987256,-0.87259114,1.63684,-4.5832386,-1.7238197,-2.7100933,-5.4211245,-4.362653,-0.097866714,-4.7954893,5.229318,-1.1533984,0.4938508,0.53265566,-2.2332242,-1.1406382,-4.729496,-2.8840716,4.096144,-6.3052626,1.8269575,-4.726463
-5.949646,-7.741065,-7.2487345,4.3310766,4.638691,-1.5039713,-0.0071123266,-0.65670407,1.2217177,-2.4497998,1.1015017,0.73274523,3.1793103,-2.1542482,-0.63744396,3.261765,-5.74822,-3.962365,-3.5115924,-3.595539,0.65530896,1.4936147,-1.4593325,4.3513494,0.0857931,-3.1131532,3.4709473,-4.3378954,-1.0109626,-0.7033733,-5.697023,5.5909996,-3.98273,-2.2281787,2.7308743,-2.958651,5.4286923,-5.9075203,0.99116915
0.6255968,0.32891798,-3.7116306,-5.2382307,-4.227961,-1.0100721,-9.999271,-1.5240213,-4.66718,-3.588678,-0.48983398,-2.2295418,0.10233974,-4.497228,-3.5907938,-2.4094515,2.475681,-1.7315977,1.0905864,-4.621375,-4.836199,-5.5694013,-2.179714,-4.095981,-5.8636875,-0.9962866,-3.8445203,-0.7399499,-4.043921,-1.6456383,-1.1795456,-5.685049,-7.943202,-7.3439302,-0.99180675,-4.6363792,-0.13657285,-1.4710511,-1.4928796
2.6593223,3.970058,10.686132,-6.6247187,-2.2625134,2.290194,-1.4704047,-3.9619737,-0.23614426,-2.5524018,-0.28766972,-2.9657035,-5.654518,1.3264294,0.214041,-3.579885,-7.743496,4.583707,0.89744854,-0.122798555,-0.759579,-1.303571,-2.3063369,8.635515,-0.21491797,-1.7572987,5.5878563,0.9926479,0.53063744,3.4617512,-0.14512825,-0.20784646,-0.40160885,3.3738534,-0.32608163,6.396605,1.4418812,-5.3495507,-3.4186282
6.323651,6.6302257,-5.803008,1.8152143,4.502827,1.3370115,6.639445,9.127034,6.051191,2.4642935,2.4511688,6.710505,2.8382242,6.942647,-3.612151,2.7912855,7.8464904,1.658686,3.9191687,0.38160095,6.6349854,5.6823826,0.1346946,-1.8550322,4.1982574,4.85629,-3.2447648,4.8986974,3.3378708,3.7516072,1.8374846,2.5556126,1.1458926,4.9176674,0.573208,-1.0363661,10.020088,3.7855313,-0.4112966
