Object ID,Pathways,Chimeric?,Common-Name,Credits,Data-Source,Engineered?,Enzymes-Not-Used,Hypothetical-Reactions,In-Pathway,Key-Reactions,Names,Primary-Products,Primary-Reactants,Rate-Limiting-Step,Reaction-List,Regulated-By,Score,Species,Sub-Pathways,Synonyms,Taxonomic-Range,Variants?,Super-Pathways,Link
PWY-6990,PWY-6990,,(+)-camphor biosynthesis,SRI // caspi,,,,,,,(+)-camphor biosynthesis // (<i>R</i>)-camphor biosynthesis,,,,GERANYL-DIPHOSPHATE-CYCLASE-RXN // RXN-13046 // +-BORNEOL-DEHYDROGENASE-RXN,,,TAX-38868,,(<i>R</i>)-camphor biosynthesis,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6990
PWY-2467,PWY-2467,,(+)-pisatin biosynthesis,SRI // caspi // O-28 // THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,RXN-18746 // RXN-18745 // RXN-16377 // RXN-2054,,,(+)-pisatin biosynthesis,,,,RXN-18746 // RXN-18745 // RXN-16377 // RXN-16376 // RXN-2054 // RXN-4561 // RXN-4002,,,TAX-3888,,,TAX-3803,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-2467
PWY-7487,PWY-7487,,(+)-secoisolariciresinol diglucoside biosynthesis,O-28 // hartmut,,,,,,,(+)-secoisolariciresinol diglucoside biosynthesis,,,,RXN-15443 // RXN-15442,,,TAX-4006,,,TAX-3398,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7487
PWY-7749,PWY-7749,,(-)-4'-demethyl-epipodophyllotoxin biosynthesis,SRI // caspi,,,,,,,(-)-4'-demethyl-epipodophyllotoxin biosynthesis // etoposide aglycone biosynthesis // (-)-4'-desmethyl-epipodophyllotoxin biosynthesis,,,,RXN-17350 // RXN-17349 // RXN-16344,,,TAX-93608,,etoposide aglycone biosynthesis // (-)-4'-desmethyl-epipodophyllotoxin biosynthesis,TAX-3398,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7749
PWY-6991,PWY-6991,,(-)-camphor biosynthesis,SRI // caspi,,,,,,,(-)-camphor biosynthesis // (<i>S</i>)-camphor biosynthesis,,,,RXN-13002 // RXN-13047 // --BORNEOL-DEHYDROGENASE-RXN,,,TAX-301877 // TAX-128002,,(<i>S</i>)-camphor biosynthesis,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6991
PWY-7557,PWY-7557,,(-)-dehydrodiconiferyl alcohol degradation,SRI // caspi,,,,,,,(-)-dehydrodiconiferyl alcohol degradation,CPD-17081 // VANILLIN,CPD-17075,,RXN-18022 // RXN-15822 // RXN-15823 // RXN-15818 // RXN-15819 // RXN-15821 // RXN-15820,,,TAX-627192 // TAX-13689,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7557
PWY-2761,PWY-2761,,(-)-glycinol biosynthesis,THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,PWY-2055,,(-)-glycinol biosynthesis,,,,RXN-13699 // RXN-4505 // RXN-4504 // RXN-4502 // RXN-4501,,,TAX-3827 // TAX-3847 // TAX-46348 // TAX-49827 // TAX-3879 // TAX-3885,,,TAX-3803,,PWY-2055,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-2761
PWY-2464,PWY-2464,,(-)-maackiain biosynthesis,O-28 // THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,PWY-5717 // PWY-2229,,(-)-maackiain biosynthesis,,,,RXN-13700 // RXN-3762 // RXN-3768 // RXN-3766 // RXN-3765 // RXN-3763,,,TAX-119829 // TAX-3827 // TAX-3879 // TAX-3880 // TAX-3885 // TAX-3888,,,TAX-3803,,PWY-5717 // PWY-2229,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-2464
PWY-2463,PWY-2463,,(-)-medicarpin biosynthesis,SRI // caspi // THE-ARABIDOPSIS-INFORMATION-RESOURCE // hartmut,,,,,PWY-5717 // PWY-2229,,(-)-medicarpin biosynthesis,,,,RXN-3602 // RXN-3601 // RXN-3562 // ISOFLAVONE-2-HYDROXYLASE-RXN,,,TAX-3827 // TAX-46348 // TAX-49827 // TAX-3879 // TAX-3880,,,TAX-3803,,PWY-5717 // PWY-2229,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-2463
PWY-7556,PWY-7556,,(-)-microperfuranone biosynthesis,O-28 // hartmut,,,,,,,(-)-microperfuranone biosynthesis,,,,RXN-15813,,,TAX-162425,,,TAX-1131492 // TAX-4751,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7556
